crop_type,total_records,irrigation_required,no_irrigation_required,irrigation_percentage
apple,2202,1294,908,58.76475930971844
banana,2202,1294,908,58.76475930971844
blackgram,2202,1294,908,58.76475930971844
chickpea,2202,1294,908,58.76475930971844
coconut,2202,1294,908,58.76475930971844
coffee,2202,1294,908,58.76475930971844
cotton,2202,1294,908,58.76475930971844
grapes,2202,1294,908,58.76475930971844
jute,2202,1294,908,58.76475930971844
kidneybeans,2202,1294,908,58.76475930971844
lentil,2202,1294,908,58.76475930971844
maize,2202,1294,908,58.76475930971844
mango,2202,1294,908,58.76475930971844
mothbeans,2202,1294,908,58.76475930971844
mungbean,2202,1294,908,58.76475930971844
muskmelon,2202,1294,908,58.76475930971844
orange,2202,1294,908,58.76475930971844
papaya,2202,1294,908,58.76475930971844
pigeonpeas,2202,1294,908,58.76475930971844
pomegranate,2202,1294,908,58.76475930971844
rice,2202,1294,908,58.76475930971844
watermelon,2202,1294,908,58.76475930971844
