crop_type,count,mean,median,min,max,std
orange,2202,14.196748410535875,14.33,0.0,35.83,13.358948387038206
blackgram,2202,13.193978201634877,13.32,0.0,33.3,12.415061823718725
coffee,2202,12.868683015440508,12.99,0.0,32.48,12.10955536773901
watermelon,2202,12.799237057220708,12.92,0.0,32.3,12.043525371352143
kidneybeans,2202,12.678891916439602,12.8,0.0,32.0,11.930603482351644
mothbeans,2202,12.586457765667575,12.71,0.0,31.76,11.842212093402981
maize,2202,12.461716621253407,12.58,0.0,31.45,11.725980236184801
grapes,2202,12.169700272479565,12.29,0.0,30.71,11.449888718207154
muskmelon,2202,12.121762034514077,12.24,0.0,30.59,11.405145661174835
cotton,2202,11.979409627611263,12.09,0.0,30.23,11.272632176211227
chickpea,2202,11.934405086285196,12.05,0.0,30.12,11.229483356006504
banana,2202,11.738737511353316,11.85,0.0,29.63,11.046147294629423
pomegranate,2202,11.657048138056313,11.77,0.0,29.42,10.968719834935582
papaya,2202,11.598365122615803,11.71,0.0,29.27,10.913013054908024
apple,2202,11.593950953678474,11.7,0.0,29.26,10.910344195392158
mango,2202,11.539663941871027,11.65,0.0,29.12,10.857946870653828
mungbean,2202,11.139527702089008,11.25,0.0,28.11,10.48097162269567
rice,2202,10.835758401453225,10.94,0.0,27.35,10.196111012263788
lentil,2202,10.828910081743869,10.93,0.0,27.33,10.190152309061444
coconut,2202,10.572107175295185,10.67,0.0,26.68,9.948460391586961
pigeonpeas,2202,10.541780199818348,10.64,0.0,26.61,9.919999308910528
jute,2202,10.311389645776567,10.41,0.0,26.02,9.702403959494948
